year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,Egypt,South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,Yemen,United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Samoa,Solomon Islands,Tonga,gdp_per_person
1995,278.520835668767,1271.61617353199,227.971147849318,714.994396357297,136.523619088963,1466.94806760415,916.326617700876,3855.6340871567,1466.78820800781,371.537243033836,4756.74840785403,2583.34991436018,1978.71514099575,1421.06177809796,372.006104665125,20679.634792669,28690.8757013347,5055.61406223303,7357.6162773788,3513.89737854631,1199.84171414993,309.458680823367,375.17600537305,197.843001330326,450.550279346206,609.604337927454,24914.8507020358,44197.6191013908,4363.14458333034,2864.36515719866,4494.70762405948,1650.04922365201,2349.40645150289,2259.25922555221,933.191772460938,50113.8321221345,34875.7043347536,26633.5913761549,35321.0980773087,30254.2972932631,7414.30279204109,1415.71151592128,2958.74263957462,619.135530927038,764.414656090937,27003.2006807782,18991.4711694457,11900.9317778335,15822.5090711554,10786.4008952769,20448.1219685874,17400.4201848172,7038.00523407967,844.429294097904,2490.98744457796,2010.11793522635,3932.0910939209,1288.10473321401,1220.17919311126,2084.02781298216,4897.1333799785025
1996,284.698259285733,1632.72469370276,206.04911417485,723.469950081149,147.327458851964,1616.83198721285,1008.97637629447,3617.55336002932,1596.83239746094,389.271267898831,5179.13052002464,2664.45625558215,2088.17109102236,1481.05986750672,377.229465025972,21296.9723536904,29967.7127181749,5333.50438724772,7663.21271287469,3308.18429574276,1311.09249403865,371.917937677345,401.046754673579,198.821907435345,456.996961832943,709.415888233368,26232.866096827,39150.0396308089,4837.16897250768,3054.65690806473,4525.03910312241,1633.01064354117,3053.90516860949,1470.19259250682,869.846069335938,48092.6433036512,37321.9741993473,27614.8770273122,35621.9878051732,33022.5649478838,8068.00076784612,1410.17424189419,3393.05090749359,485.258492784825,375.214994663363,28323.1650870532,20180.3770456889,12091.7802188235,17124.7920861356,11471.5045960191,22021.7839065228,18794.436039393,7788.29726974057,985.885799103975,2272.84469502819,1973.93821696324,3678.56242894634,1419.35849045228,1289.33036923435,2214.91444159434,4897.113840655526
1997,286.846637912964,1720.27540949396,238.749371368214,650.776321407448,143.369531498844,1628.76100561506,1146.20172117634,3700.23554789867,1426.30114746094,377.841935501461,5299.39630404412,2873.20018821653,2078.50841313824,1638.46281851789,425.111085879256,21901.5628548392,31459.1299691554,5741.95842991193,8146.78710021431,3545.97670881078,1273.27604875636,379.284917709635,416.228116203753,211.834869589153,438.030942680153,781.74256121344,26375.8653668113,35638.2319556941,4678.56390058182,2473.14096982086,4596.18262235195,1577.33656023974,3573.50440240049,1361.40938439884,987.489807128906,41584.441782159,36629.0309036621,27919.1854966562,32779.879045297,30324.4510931063,8234.64063759005,1435.87593846863,3834.0590787531,936.341170908421,382.584928722421,27982.7957040564,20432.8376406454,12254.6662583128,20522.8012995179,11545.3455998551,23646.6230457327,17474.187029724,7944.59907223327,953.162777384717,2230.75377088451,1860.30827128593,3661.02846701327,1607.88744330521,1292.23951946469,2135.52136447708,4890.286683376801
1998,292.453037058835,1822.46998452473,246.154673288384,684.588105785786,126.465095781244,1603.36623200836,1212.82259820477,3309.60933087472,1668.49755859375,400.366799508524,5105.89099544117,2605.99938059023,1889.88455618586,1741.20114182856,465.363306259051,21024.5850687045,32853.6725949234,5419.82417295755,8218.99212764682,3807.83869182014,982.865943728564,385.616881752796,413.630864056851,205.075246306069,424.453697798497,828.594691043134,21829.2737831583,32423.7556133801,3294.30978444095,1847.70379269771,4744.21226429639,1852.5549693339,2775.47372982047,1820.44866449942,831.336791992188,42680.5867322391,34803.4634058738,31030.0535989181,33346.4884298957,30605.6227188103,7219.02932432025,1532.11380395602,4124.85527892575,900.937142559106,342.73940747773,24889.4269192279,20157.0966336239,11625.0343768343,17665.4408438222,9836.05729768574,21479.1142020092,14738.4455703918,8047.91621679983,874.484573921122,2254.16054870567,1965.15528340681,2908.84986525428,1506.30359215846,1091.89096889326,1888.83200817891,4810.5460549031095
1999,257.921949601357,480.669363941805,264.74368682977,677.516338727268,120.734631499865,1596.11822239025,1268.30949160496,3242.36830483958,1635.65673828125,403.037326127273,3493.57162513699,2243.64204956242,1766.30657288259,1603.64776144934,509.578585275375,22315.2466731545,34515.3813073394,4933.55581516755,7705.54288252851,3950.34145012809,1101.43515975318,388.095684268235,441.927991436397,208.646667913743,418.249257055367,873.292336318005,21796.6373891001,36610.1683163197,3527.81581379249,2033.24490520569,4793.47852203763,1599.90622808339,2768.91041346166,1659.71861105493,631.910461425781,41695.6912912021,36393.2927471088,32381.6252356488,33426.2381077405,30969.1033509483,7915.44169380534,1544.58750592979,4086.93872789633,1560.36466710272,401.448141660801,25855.8605046587,19782.2869743593,12123.3534715368,20233.6846826643,10452.1899400479,20712.6697805564,15322.2238340267,7629.56986402836,887.495678128225,2257.92000318712,1971.17209885387,2682.69486680046,1416.76915966987,1133.62256531791,1952.14614397736,4948.469223795882
2000,258.050338731086,547.318298903379,251.86926386091,603.233162455158,122.269202606069,1772.92869122761,1366.09274372613,3217.84693448467,1499.107421875,253.746936203344,3766.54811466032,2555.00751039968,1736.11729210765,1648.96578971559,820.600046761464,24271.0020563821,36329.9702595751,5052.99245768719,7637.01489203628,3975.09308659503,1050.79272954492,396.670730249751,442.750218937263,223.830289183078,642.338346499898,959.360431369138,23852.8389514753,39169.3595701504,4083.52874483605,2005.97694514234,4624.28165670295,1659.92904910528,974.725469278615,1621.26210738992,653.294311523438,38865.021939688,38178.2368777076,32096.3722613695,30722.0251837567,29632.7736101599,9753.84755185404,1570.61002940477,3986.83513941026,1980.18916038782,493.235182634814,29865.502347066,21660.840378309,14214.4836839343,27535.182940934,11714.5623675159,21870.4159669594,13641.1027183822,7797.25727395975,845.367556128631,2264.79114897645,2081.9660133519,2648.60152860938,1424.75240002471,953.17190137706,1995.07650349318,5201.863391580379
2001,236.021188853993,566.428231812933,237.308846200901,637.213530563724,118.457204255261,1896.30020878013,1295.1374184163,2847.15191945908,1506.24523925781,263.542156494853,3176.28935747524,2472.99084035833,1637.68615122932,1537.68663578252,748.821159844528,23822.096210932,37133.6203973517,4563.5952986689,7141.47507662826,3991.7767076924,969.530611744453,394.65641001891,450.357900514128,240.795114544664,609.939506905073,1053.11231442789,21699.7414868907,34406.1824638092,3943.79943910239,1889.93432467144,5276.03318905496,1825.19299373184,1812.42088281393,1770.90704918691,800.49072265625,39638.7911061864,38601.897639231,28897.4439396908,30768.4775471112,27259.4806735435,9611.96360191054,1632.29454010563,4009.55929751102,1435.695683789,487.141257946318,27745.1708087672,20907.1143041538,13573.2339887597,25870.7991864314,10805.311325122,19695.7297379144,13882.8568268586,8239.63931376602,718.833757321332,2394.34501105178,2144.5369999555,2232.30874026726,1453.87021324606,911.791935385411,1753.5165946314,5056.088118861754
2002,241.984688408335,712.164852077686,234.043016755733,669.430447319209,109.593813612988,1937.46411413019,1116.82884626213,2688.23676032806,1596.02062988281,297.46164468774,2855.94018885769,2428.92969771584,1367.76506935997,1669.33517469705,720.969568042522,24256.0192337185,37997.7424300242,4430.84741157069,2569.69963519124,4090.58617397129,1014.90879320106,393.886422327628,469.149928973927,238.89140296106,599.937345723927,1148.51425710711,22159.8373710639,32820.7936433254,4184.03163773539,2089.75183111554,6655.33300865319,2119.85509684554,2390.73459447107,2092.98288625558,903.011901855469,42458.7384679187,43170.557174499,32409.2161491753,33257.1622586509,29957.9387652616,9869.13050219438,1706.26744384401,4290.85283803266,1266.15961275094,513.241486570603,27753.6089526346,19034.3175740071,13501.4708801425,27226.6593510117,10586.0543471363,20301.8431713256,16874.1874918196,8340.53735322771,810.108949976176,2566.06708799222,2156.70532157086,2084.64824520971,1527.55790455937,756.890296490792,1759.48033285941,5059.921398570111
2003,250.71543664681,763.388745367223,249.012274982252,817.888034221442,116.800491132777,2283.77299346126,1031.27556291284,4062.21755993786,1941.87255859375,358.39927142073,3090.6070097455,2311.94218760291,1443.99885236205,1722.54701910774,578.995291079709,28301.8645937428,39490.3023903176,4773.40177520754,3320.47775133903,4264.66428846636,1027.2301192843,426.74880754362,544.143133545002,246.429706587633,672.44178669894,1288.63749134336,23730.3840054566,35387.0374203599,4465.32194567208,2347.54001286066,8419.43087098103,2679.40626016154,3153.9011312754,2719.49436859287,1076.48156738281,49335.7456291067,50250.3298214345,39476.6978486684,40519.0974905924,37292.4214343004,10463.5425832141,1775.67625581432,4437.71588507526,817.887862499622,548.905883049973,29659.5428567811,19629.4145135202,14486.0269029822,31602.470865136,11487.220410693,23718.1338501868,21913.7081719961,7862.04283025586,1020.50050169828,2539.3307383954,2185.80309035045,2463.28259078079,1798.12429714048,895.989272661716,1936.0412369244,5428.954443777986
2004,292.38185796262,962.48104194733,269.540446333402,918.102079522155,133.169812538096,2816.99384960555,991.255689145253,5221.46333731721,2183.55541992188,406.132105329565,3663.823188064,2818.57195413044,1786.21533938543,1840.91184884,683.185298155273,32145.5412620217,41724.6411982614,6120.59152052304,4242.02099089422,4644.56582353041,1099.63013023758,455.614016909798,624.258826510066,279.587750044428,771.902247348954,1508.66791560781,27608.080013423,38298.9801712303,4939.24851854427,2641.56268717857,10301.7033946743,3494.99056448955,3597.08798057009,3389.68743360274,1401.01806640625,54659.4571488233,57768.6980958462,47334.9306537723,46625.050098011,42758.2015503417,11800.8507411171,1940.08641342805,4600.68371412993,1328.37157628292,627.632023395762,33376.7152295209,20546.2291718399,15963.9493171617,41035.5008380177,13154.4978989446,30836.7306824685,25420.234882944,8395.13622603431,1083.26858963731,2566.08291015814,2146.40160821979,3040.51349889,2189.26042607992,986.081904026618,2195.44874051102,5937.40378458333
2005,330.405402707025,1211.37703504386,324.016863847189,979.846101520171,158.243458082465,3233.13339634212,1104.80340733395,5836.87663325127,2242.98828125,478.611909191028,4827.78173052472,3456.06610874512,1970.87169852378,2046.46611650758,775.845704056916,36383.6600068095,44123.3996470026,7480.3233099645,5067.65342293276,5017.7410922824,1220.46018559867,480.08585075452,710.488080408949,309.024168339372,827.619861189926,1753.41419160544,29961.3172812732,37812.8950199948,5555.58179951206,2867.70383436062,11223.3993032598,4618.00350802913,3807.97417321786,3899.82596332878,1875.33508300781,56242.8933645639,67047.1704558264,56794.8501588953,48925.8076698784,43378.6152117149,14434.8577924647,2087.87079273635,4602.19804637945,1762.39360423421,734.159908450927,38719.3138307623,21226.7213913393,17966.1657837625,53949.6764091147,15975.7473782258,34479.7679298388,27751.0654708859,9639.65891316414,1161.78372745312,2658.65217893885,2246.45370337127,2992.40382776926,2550.04221437511,1144.45758513252,2477.72640915188,6360.700126944286
2006,346.518255310647,1599.53891556365,356.995022901154,1017.20196747987,189.345737521418,3660.66104745322,1298.97900203124,6077.38293388876,2438.12646484375,906.441027564887,5934.1447107274,3789.85361217027,2439.43124694576,2225.1234753878,828.805700289589,40504.0370977806,46301.9876485519,9318.65655299547,5869.38028970204,5528.76705469354,1426.14649179546,490.388026533289,801.668353659022,340.431796437968,900.873564984808,2099.2194300499,33768.4528234651,35991.546002862,6158.40785533236,3331.32043511773,11489.5608654088,5757.53127301178,4492.7136699046,4523.1465578805,2366.494140625,59011.0324592016,74434.4996835671,57492.9342498703,52119.1787984282,46531.6001120572,16930.8565071853,2342.63459574933,4635.2514117486,2276.55435744086,809.713127624703,44342.6048322482,22502.0722209991,19267.282615072,62582.4453138755,17563.6145370639,36595.7071548423,26654.5932018985,9885.14775685194,1123.19268258743,2754.26988767503,2289.75155559971,2910.14145794684,2663.29135939532,1255.62589099975,2750.34758182988,6765.792717131864
2007,401.389130865581,1815.52697545827,426.234183487629,1188.93877808175,237.146255996319,4167.45169937531,1547.74170735909,6591.85535960564,2755.5859375,1050.12461524926,7409.69130727951,4769.926147194,3211.93621659546,2458.81573919384,984.566983448521,44660.0838892281,48050.227412195,10346.4138184533,7185.25155147027,6317.81730274124,1712.65543282793,537.955492792911,1021.88707706826,385.449767660642,998.090114197524,2693.95873160283,39432.8860198877,35779.0245416427,7168.93031942508,3918.52817434581,13940.9092761999,8360.33775916596,6081.08765700202,5888.77685220636,3160.32763671875,64989.1553256031,85502.2677087731,69495.7267376825,58631.6566433635,53568.5645523213,18792.653772482,2506.20599484139,5125.25809960149,3128.99010329066,890.305768114988,45854.7325158162,25635.926838502,20908.4042548073,65954.3419525051,18596.1502627898,41051.6120652288,32479.9817381467,10408.4343591338,1352.57829954167,2892.28403958874,2336.97852202403,2272.15291307045,3038.61904093377,1390.1569662696,2797.06555185746,7383.861221009747
2008,472.842681495852,2154.10543545364,528.326391755502,1398.79218010021,316.410475118075,5180.91881514686,1896.21594269779,6184.75474328399,3183.20043945313,1182.65761256016,8908.33176567294,5541.83629665898,4384.9546943793,2763.05988172926,1094.66058421644,46710.2526864484,48570.0594269601,10683.2188772853,8944.1102657357,7347.59050324397,1959.29233534978,613.06204104124,992.519584923828,464.817391891529,1067.04324565284,3468.32706307504,40008.5720489092,39876.3039685725,8371.82156086005,4309.13509292986,15772.3300839383,10435.1561230787,7376.73517910716,7271.30338858025,4017.806640625,74175.1927898555,97503.5407803783,56943.3704468563,64616.6657583663,55817.4392710726,26576.779241509,3241.6524135556,5912.04532820842,4542.96609046032,1071.63583282105,50054.1700681803,30176.2865128483,23299.4992780392,80781.4039187792,22320.4888964331,49701.2817843335,31252.9625640673,10582.739754853,1410.62249506033,2817.60522775322,2415.59355952119,3756.84531228766,3373.60639884263,1525.85092434029,3218.45299609309,8040.758616759147
2009,798.947089938247,1820.48633854782,564.039095842449,1308.69404336205,368.574712267445,4235.42990456612,2161.63964573927,6374.70560042992,3119.58862304688,1047.70430093586,8678.65922498836,5250.97292433518,3941.84815479271,2611.64632773352,1196.8528706018,40874.8831932903,47194.9500893872,10098.8017166866,8150.23527028221,7796.92617035048,1864.45043406471,679.211477428056,1094.94974598436,473.078751198621,963.788066395225,3832.2274569094,38926.8054365453,41308.9968370512,7191.43287234626,4135.43986952819,13077.305465178,8548.4543409242,6414.0448463847,6988.27316296465,2607.08764648438,71568.3123885672,80347.5700665184,41301.273219718,58412.7472358513,46707.8673215418,20655.9180249218,3435.8337590698,7090.85493856621,3714.71205987194,969.243509864478,37803.0663738777,28381.6449423376,19465.3140745038,60785.7351551657,17718.3911648365,42816.5674002829,28209.3623271229,10155.4332139612,1316.62734623652,2906.63026970914,2596.26147447595,4410.56764668962,3279.18269477295,1554.70723718073,2914.23790763703,7842.171258147659
2010,823.488144282,2202.25672957344,593.624927744346,1275.88357492357,330.619412798644,4912.78585503672,2455.08194645282,7973.47195771517,3067.9853515625,1263.89251760539,11403.2821284616,6398.2958447102,4750.96273669322,2805.25960237322,1209.72733503094,47560.6666009406,48650.6643227232,12632.8704725219,10260.1313108254,8331.46421351868,2162.91375885614,757.385280361508,1347.51939071367,585.278491984574,987.304571124485,4550.47394356715,47236.683084953,44968.1562349739,8899.34505544675,4973.86288823778,13217.5045951108,8399.5374234284,5970.92660940072,6863.66706774052,3039.63232421875,76531.3729407691,88163.2085931423,43237.0729488958,58104.5445594981,52542.8274141037,23570.1798147325,3718.46571622945,7625.81051551165,4461.75196161555,1155.20305261418,43696.6712597922,31338.5568903917,21819.3291098099,77387.3267885308,22028.3790215788,52144.6654705468,33676.7741239925,10229.0878451837,1522.10110213175,3095.45768964722,2761.24325832248,4735.92000502092,3524.2479246203,1685.15499035363,3416.08358065135,8681.966403021184
2011,835.620060555838,2418.41316975875,651.133677964662,1374.67591873844,343.024942351887,5916.31364364343,2590.64384891965,8646.05571071635,3301.98876953125,1507.43573198753,13396.6243566047,7400.9940695669,5805.40154543044,3168.98370607705,1312.03953552013,52223.8588398531,50065.9789470675,14487.3927827263,12704.2831819684,9662.29592216607,2383.91892526787,837.336944695647,1445.46127486037,785.518656222132,1131.73513834324,5614.38602225277,53891.4570264372,48760.0789494211,10217.1068585031,5373.6232832898,14234.471576937,9560.6755277458,7082.2861666075,7857.16706984441,3656.69799804688,90476.7589651577,101221.813476644,47714.5922308485,61809.737898222,60379.7748160321,25188.0074151885,3946.85503855525,7834.96257108993,5775.54229080293,1186.47500581215,50789.0505418347,34433.822610733,25032.7867743333,103261.506539346,26966.2941648251,62605.600458306,38388.5280906616,11000.879522071,1771.12894481248,3319.39815439151,2890.50493045368,6480.90451339597,3821.50678264479,1924.05277323978,3849.99370811237,9567.885444387826
