year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga,global_education
1995,6.53999983180653,43.2999992370605,5.360000133514405,4.59999990463257,4.6399998664856,16.978000283241286,41.73499946594235,43.91250038146975,15.280259697936328,30.950000405311616,30.567143304007416,37.6199989318848,26.0400002797445,12.535555839538588,6.5009523800441205,85.28329668546976,91.6500007629395,57.368890974256736,40.20199966430666,49.289999008178704,47.3849983215332,16.75600042343139,17.547999530002993,8.887000262737256,8.592500090599072,35.26611190372039,52.8499984741211,98.2099990844727,42.34249943494793,21.221250355243672,84.46285901750838,67.0019985198975,46.5499992370605,61.09666697184243,75.9587109473444,57.07724156872981,99.7900009155273,95.0999984741211,97.4700012207031,78.379997253418,32.75,55.3199996948242,39.73919028204841,22.9286041259766,14.2275915145874,53.30000050862634,73.39714322771341,44.2000007629395,48.1000003814697,31.7900009155273,83.57454612038349,63.392137278681254,96.8899993896484,41.28578119020204,91.6399993896484,76.1502532958984,96.8249053955078,60.27453292043586,38.1591262817383,70.49900283813477,36.23970645826069
1996,6.61999984221025,43.2999992370605,5.599411908318015,4.59999990463257,4.6399998664856,17.65250029414894,45.1399993896484,45.52875041961672,15.829437189323984,31.900000429153476,31.850952829633464,37.6199989318848,26.350000169542135,12.864444732666032,6.513333320617677,85.76662123830694,91.94000091552738,59.241113450792106,41.1849994659424,50.12799911499022,47.97799835205078,17.63500046730041,18.25571379168281,9.422500282525998,8.851250112056745,36.88888973659935,54.22799835205079,98.2099990844727,44.1399993896484,22.19000037511189,84.34571620396207,68.0459983825684,46.5499992370605,65.07555601331921,77.56225942796279,59.80172440101361,99.7900009155273,95.0999984741211,97.7200012207031,79.56444210476347,32.75,55.3199996948242,40.85675788570096,22.9286041259766,14.2275915145874,55.05600051879887,75.82190522693449,46.3250007629395,49.288889143202006,31.7900009155273,84.18181887539947,64.1251718272334,96.8899993896484,43.32612126582377,91.6399993896484,76.1502532958984,96.8249053955078,61.61485682035748,38.1591262817383,72.4800033569336,37.07019970787809
1997,6.699999852613971,43.2999992370605,5.838823683121626,4.59999990463257,4.6399998664856,18.32700030505659,44.27099952697751,47.1450004577637,16.378614680711642,32.85000045299533,33.13476235525951,37.6199989318848,26.660000059339765,13.193333625793471,6.525714261191233,86.2499457911441,92.23000106811529,61.11333592732747,42.16799926757814,50.96599922180174,48.57099838256836,18.514000511169428,18.96342805336262,9.95800030231474,9.11000013351442,38.51166756947831,55.60599822998048,98.2099990844727,46.02999973297118,23.1587503949801,84.22857339041576,69.0899982452393,46.5499992370605,69.05444505479599,79.16580790858117,62.52620723329741,99.7900009155273,95.0999984741211,97.9700012207031,80.74888695610895,32.75,55.3199996948242,41.9743254893535,22.9286041259766,14.2275915145874,56.81200052897139,78.24666722615557,48.4500007629395,50.47777790493432,31.7900009155273,84.78909163041544,64.85820637578553,96.8899993896484,45.3664613414455,91.6399993896484,76.1502532958984,96.8249053955078,62.9551807202791,38.1591262817383,72.06300277709961,37.900609275395176
1998,6.77999986301769,43.2999992370605,6.078235457925237,4.59999990463257,4.6399998664856,19.00150031596424,43.40199966430662,48.76125049591067,16.9277921720993,33.80000047683719,34.41857188088556,37.6199989318848,26.9699999491374,13.522222518920916,6.538095201764789,86.73327034398127,92.52000122070316,62.98555840386285,43.15099906921388,51.80399932861326,49.16399841308594,19.393000555038444,19.67114231504243,10.49350032210348,9.36875015497209,40.13444540235727,56.98399810791017,98.2099990844727,47.92000007629395,24.127500414848313,84.11143057686944,70.1339981079102,46.5499992370605,73.03333409627277,80.76935638919956,65.25069006558122,99.7900009155273,95.0999984741211,98.2200012207031,81.93333180745444,32.75,55.3199996948242,43.091893093006036,22.9286041259766,14.2275915145874,58.56800053914392,80.67142922537664,50.5750007629395,51.66666666666663,31.7900009155273,85.39636438543143,65.59124092433767,96.8899993896484,47.40680141706723,91.6399993896484,76.1502532958984,96.8249053955078,64.29550462020072,38.1591262817383,71.64600219726563,38.734156179326156
1999,6.85999987342141,43.2999992370605,6.317647232728847,4.59999990463257,4.6399998664856,19.67600032687189,42.53299980163573,50.377500534057646,17.476969663486955,34.75000050067905,35.702381406511606,37.6199989318848,27.279999838935034,13.851111412048358,6.550476142338345,87.21659489681845,92.81000137329104,64.85778088039822,44.133998870849624,52.64199943542478,49.75699844360352,20.272000598907464,20.37885657672225,11.02900034189222,9.627500176429765,41.75722323523624,58.36199798583986,98.2099990844727,49.81000041961673,25.09625043471653,83.99428776332313,71.1779979705811,46.5499992370605,77.01222313774954,82.37290486981793,67.97517289786502,99.7900009155273,95.0999984741211,98.4700012207031,83.11777665879991,32.75,55.3199996948242,44.20946069665858,22.9286041259766,14.2275915145874,60.32400054931645,83.09619122459772,52.7000007629395,52.855555428398944,31.7900009155273,86.00363714044741,66.32427547288981,96.8899993896484,49.44714149268897,91.6399993896484,76.1502532958984,96.8249053955078,65.63582852012233,38.1591262817383,71.22900161743166,39.56473484529271
2000,6.93999988382513,43.2999992370605,6.557059007532457,4.59999990463257,4.6399998664856,20.35050033777954,41.66399993896484,51.993750572204625,18.02614715487461,35.70000052452091,36.98619093213765,37.6199989318848,27.589999728732664,14.1800003051758,6.5628570829119015,87.69991944965561,93.10000152587894,66.7300033569336,45.11699867248536,53.4799995422363,50.3499984741211,21.15100064277648,21.08657083840206,11.56450036168096,9.886250197887437,43.3800010681152,59.739997863769545,98.2099990844727,51.7000007629395,26.065000454584744,83.8771449497768,72.221997833252,46.5499992370605,80.99111217922632,83.97645335043632,70.69965573014883,99.7900009155273,95.0999984741211,98.7200012207031,84.30222151014539,32.75,55.3199996948242,45.32702830031112,22.9286041259766,14.2275915145874,62.08000055948897,85.5209532238188,54.8250007629395,54.04444419013125,31.7900009155273,86.61090989546338,67.05731002144195,96.8899993896484,51.487481568310706,91.6399993896484,76.1502532958984,96.8249053955078,66.97615242004396,38.1591262817383,70.81200103759768,40.38983814235637
2001,7.01999989422885,43.2999992370605,6.796470782336067,4.59999990463257,4.6399998664856,21.025000348687193,40.79500007629395,53.6100006103516,18.575324646262267,36.65000054836277,38.2700004577637,37.6199989318848,27.8999996185303,14.8550000190735,6.575238023485458,88.18324400249278,93.39000167846685,67.4733352661133,46.0999984741211,49.8400001525879,53.95749855041505,22.0300006866455,21.794285100081876,12.1000003814697,10.145000219345109,44.90700111389157,61.11799774169924,98.2099990844727,49.94200057983402,27.03375047445296,83.7600021362305,73.2659976959229,46.5499992370605,84.9700012207031,85.5800018310547,73.42413856243265,99.7900009155273,95.0999984741211,98.9700012207031,85.48666636149086,32.75,55.3199996948242,46.44459590396366,22.9286041259766,14.2275915145874,63.8360005696615,87.94571522303987,56.9500007629395,55.23333295186357,34.577500343322725,87.21818265047936,67.79034456999409,96.8899993896484,53.52782164393244,91.6399993896484,76.1502532958984,96.8249053955078,68.31647631996557,38.1591262817383,70.3950004577637,41.21929587124576
2002,7.09999990463257,43.2999992370605,7.0358825571396775,4.59999990463257,4.6399998664856,21.699500359594843,39.92600021362306,59.75,19.124502137649923,37.60000057220463,39.8199996948242,37.6199989318848,27.4799995422363,15.5299997329712,6.587618964059014,88.66656855532995,93.68000183105472,68.216667175293,51.14499855041505,52.1800003051758,57.564998626709,22.78500061035156,22.50199936176169,12.61300029754636,10.403750240802784,46.434001159667936,62.49599761962893,98.2099990844727,48.18400039672854,28.002500494321172,84.8225021362305,74.3099975585938,46.5499992370605,85.80000152587888,85.5800018310547,76.14862139471644,99.7900009155273,95.0999984741211,99.2200012207031,86.67111121283635,32.75,55.3199996948242,47.5621635076162,22.9286041259766,14.2275915145874,65.59200057983404,90.37047722226094,56.92222298516173,56.422221713595874,37.36499977111815,87.82545540549535,68.52337911854623,96.8899993896484,55.56816171955417,91.6399993896484,76.1502532958984,96.8249053955078,69.65680021988719,38.1591262817383,69.97799987792972,42.124975775200205
2003,9.788333177566525,43.2999992370605,7.275294331943288,4.59999990463257,4.6399998664856,22.374000370502493,39.05700035095217,61.6199989318848,19.67367962903758,38.55000059604649,41.560001373291,38.3600006103516,30.5100002288818,16.559999704360976,6.59999990463257,89.14989310816712,93.9700019836426,68.9599990844727,56.189998626709,53.060001373291,61.17249870300295,23.540000534057626,23.209713623441505,13.12600021362302,10.662500262260457,47.96100120544431,63.87399749755862,98.2099990844727,46.42600021362306,28.971250514189386,85.8850021362305,75.80199737548833,52.063332239786746,86.63000183105466,85.5800018310547,78.87310422700025,99.7900009155273,95.0999984741211,99.4700012207031,87.85555606418183,32.75,55.3199996948242,48.67973111126874,22.9286041259766,14.2275915145874,67.34800059000656,92.79523922148202,56.894445207383946,57.61111047532818,40.152499198913574,88.43272816051132,69.25641366709837,96.8899993896484,57.608501795175904,91.6399993896484,76.1502532958984,96.8249053955078,70.99712411980882,38.1591262817383,69.56099929809574,43.03106204620901
2004,12.47666645050048,43.2999992370605,7.514706106746898,4.59999990463257,4.6399998664856,23.048500381410143,38.18800048828128,62.9000015258789,20.22285712042524,39.50000061988835,42.8699989318848,39.9199981689453,29.5799999237061,17.58999967575075,8.27411778767904,89.6332176610043,94.2600021362305,75.3099975585938,56.189998626709,53.6599998474121,64.7799987792969,24.29500045776368,23.917427885121317,13.63900012969968,10.921250283718129,49.48800125122068,65.2519973754883,98.2099990844727,44.66800003051758,29.9400005340576,86.9475021362305,77.29399719238285,57.576665242512995,87.46000213623044,85.5800018310547,81.59758705928407,99.7900009155273,95.0999984741211,99.42750167846675,89.0400009155273,35.64400024414062,58.0440002441406,49.79729871492128,22.9286041259766,14.2275915145874,69.10400060017908,95.2200012207031,56.86666742960617,58.7999992370605,42.939998626709,89.0400009155273,69.98944821565051,96.8899993896484,59.64884187079764,91.6399993896484,76.1502532958984,96.8249053955078,72.33744801973043,38.1591262817383,69.14399871826177,43.89725529541874
2005,15.164999723434436,43.2999992370605,7.754117881550508,4.59999990463257,4.6399998664856,23.723000392317793,37.31900062561039,63.1100006103516,20.772034611812895,40.450000643730206,43.9500007629395,41.0900001525879,34.1399993896484,18.619999647140524,9.94823567072551,90.11654221384146,93.879997253418,72.42499923706055,56.189998626709,54.0400009155273,65.06749916076663,25.05000038146974,24.62514214680113,14.15200004577634,11.1800003051758,51.01500129699705,66.629997253418,98.2099990844727,42.9099998474121,29.5650005340576,88.0100021362305,78.78599700927737,63.08999824523925,88.29000244140622,85.5800018310547,84.32206989156786,99.7900009155273,95.0999984741211,99.38500213623044,89.7600021362305,38.53800048828124,60.768000793457,50.91486631857382,22.9286041259766,14.2275915145874,70.8600006103516,85.23500061035155,56.83888965182839,62.07999928792313,44.88777669270834,90.2600021362305,70.72248276420265,96.8899993896484,61.68918194641937,91.6399993896484,76.1502532958984,96.8249053955078,73.67777191965205,38.1591262817383,68.72699813842779,44.55882140506979
2006,17.85333299636839,43.2999992370605,7.993529656354118,4.59999990463257,4.6399998664856,24.397500403225447,36.4500007629395,64.0199966430664,21.32121210320055,41.400000667572066,46.2099990844727,38.2700004577637,32.6599998474121,19.6499996185303,11.62235355377198,90.59986676667864,94.4599990844727,69.5400009155273,56.189998626709,54.3899993896484,65.35499954223636,25.805000305175803,25.332856408480943,14.664999961853,19.9099998474121,52.54200134277342,68.0299987792969,98.2099990844727,48.07499980926512,29.1900005340576,90.26250076293948,80.27799682617189,68.6033312479655,89.120002746582,85.5800018310547,87.04655272385168,99.7799987792969,95.36467437744142,99.34250259399413,90.4300003051758,41.432000732421855,63.49200134277339,52.03243392222636,22.9286041259766,14.2275915145874,71.29666709899907,75.25,56.81111187405062,65.35999933878577,46.83555475870769,90.7799987792969,71.4555173127548,96.8899993896484,63.7295220220411,91.6399993896484,76.1502532958984,96.8249053955078,75.01809581957366,38.1591262817383,68.3099975585938,45.688082956215744
2007,20.541666269302347,42.51151618957515,8.232941431157728,5.119999885559084,4.6399998664856,25.072000414133097,39.80790901184085,65.5299987792969,21.870389594588207,42.350000691413925,48.0699996948242,42.1399993896484,34.9799995422363,20.442720413208026,13.29647143681845,91.0831913195158,94.5849990844727,76.3399963378906,56.189998626709,56.0400009155273,65.64249992370607,26.56000022888186,26.04057067016076,15.17799987792966,19.92000007629395,54.069001388549786,69.2200012207031,98.2099990844727,53.23999977111815,30.915000438690175,92.51499938964844,81.7699966430664,74.11666425069174,90.0100021362305,85.5800018310547,89.77103555613549,99.7799987792969,95.62935028076174,99.3000030517578,91.0299987792969,44.32600097656248,66.21600189208979,53.1500015258789,22.9286041259766,14.2275915145874,71.73333358764651,83.0,56.78333409627284,68.6399993896484,48.78333282470703,91.4700012207031,72.18855186130693,96.8899993896484,65.76986209766284,91.6399993896484,76.1502532958984,96.8249053955078,76.35841971949529,38.1591262817383,72.17599792480472,46.570870302621174
2008,23.2299995422363,41.7230331420898,8.472353205961339,5.639999866485598,5.427499890327457,25.746500425040747,43.1658172607422,65.4599990844727,22.419567085975864,43.300000715255784,50.2200012207031,44.0099983215332,37.0499992370605,21.23544120788575,14.97058931986492,91.56651587235297,94.7099990844727,72.4499969482422,56.189998626709,57.3199996948242,65.9300003051758,27.31500015258792,26.748284931840573,15.69099979400632,19.9300003051758,55.596001434326155,71.3099975585938,98.2099990844727,58.40499973297118,32.64000034332275,94.76749801635742,82.75,79.629997253418,90.4300003051758,85.5800018310547,92.49551838841928,99.7099990844727,95.89402618408204,99.38500213623044,85.1500015258789,47.2200012207031,68.9400024414062,56.231819846413345,22.9286041259766,14.2275915145874,72.17000007629397,83.24499893188475,56.75555631849506,69.1900024414062,50.731110890706375,92.0199966430664,72.92158640985907,96.8899993896484,67.81020217328457,91.6399993896484,76.1502532958984,96.8249053955078,77.6987436194169,38.1591262817383,76.04199829101564,47.371229271378034
2009,23.0749998092651,40.93455009460445,8.711764980764949,6.159999847412112,6.214999914169315,26.421000435948397,46.523725509643555,69.8099975585938,22.96874457736352,44.25000073909764,51.0200004577637,43.7599983215332,38.4500007629395,22.028162002563477,16.644707202911388,92.04984042519013,94.7099990844727,73.4599990844727,56.189998626709,57.5699996948242,66.79999923706055,28.07000007629398,27.455999193520384,16.20399971008298,19.7800006866455,57.12300148010253,71.0599975585938,98.2099990844727,63.5699996948242,34.36500024795532,97.0199966430664,83.379997253418,80.0699996948242,90.9400024414062,85.5800018310547,95.2200012207031,99.6999969482422,96.15870208740238,99.4700012207031,85.8499984741211,49.165000915527344,69.19499969482419,59.31363816694779,22.9286041259766,14.2275915145874,72.60666656494143,83.4899978637695,56.72777854071728,70.0999984741211,52.67888895670572,92.2399978637695,73.6546209584112,96.8899993896484,69.85054224890631,91.6399993896484,76.1502532958984,96.8249053955078,79.03906751933852,38.1591262817383,79.90799865722656,48.12596394941856
2010,22.9200000762939,40.1460670471191,8.95117675556856,6.679999828338627,7.002499938011173,27.095500446856047,49.8816337585449,70.2200012207031,23.517922068751176,45.2000007629395,52.0200004577637,44.3400001525879,37.939998626709,22.8208827972412,18.318825085957855,92.5331649780273,94.9300003051758,73.5500030517578,56.189998626709,62.8899993896484,67.6699981689453,28.82500000000004,28.1637134552002,16.71699962615964,20.6800003051758,58.6500015258789,72.7300033569336,98.2099990844727,65.0800018310547,36.0900001525879,97.3899993896484,83.9499969482422,80.7300033569336,91.7399978637695,85.5800018310547,95.3199996948242,99.6999969482422,96.4233779907227,96.0599975585938,86.5199966430664,51.1100006103516,69.4499969482422,62.395456487482235,22.9286041259766,14.2275915145874,73.0433330535889,83.5199966430664,56.7000007629395,64.5500030517578,54.626667022705064,93.3499984741211,74.38765550696334,96.8899993896484,71.89088232452804,91.6399993896484,76.1502532958984,96.8249053955078,80.37939141926014,38.1591262817383,83.77399902343748,48.870741755035034
2011,11.1500911712646,39.357583999633746,9.190588530372173,7.19999980926514,7.78999996185303,27.7700004577637,55.0772018432617,71.7799987792969,24.067099560138836,43.60104624430341,54.5200004577637,45.5699996948242,42.5099983215332,22.389123916626,19.99294296900433,92.8317565917969,95.0400009155273,74.0199966430664,56.189998626709,59.3300018310547,68.81666564941406,29.5799999237061,27.75,17.2299995422363,19.3099994659424,59.52200164794921,73.1699981689453,98.2099990844727,66.26666768391928,36.9966672261556,97.7900009155273,85.1100006103516,79.8099975585938,92.4100036621094,85.5800018310547,95.379997253418,99.5500030517578,66.6341323852539,96.4800033569336,87.1900024414062,55.57000122070316,69.17010062081475,65.47727480801669,22.9286041259766,14.2275915145874,73.47999954223636,84.3399963378906,58.30000114440922,62.6599998474121,56.57444508870441,93.7399978637695,75.12069005551548,96.8899993896484,73.93122240014978,91.6399993896484,76.1502532958984,96.8249053955078,81.71971531918176,38.1591262817383,87.6399993896484,48.99341738912781
