year,country,population
2019,Argentina,44973465.0
2020,Argentina,45191965.0
2021,Argentina,45312281.0
2022,Argentina,45407904.0
2023,Argentina,45538401.0
1985,Panama,2200915.0
1986,Panama,2251325.0
1987,Panama,2301970.0
1988,Panama,2352848.0
1989,Panama,2403820.0
1990,Panama,2455583.0
1991,Panama,2508265.0
1992,Panama,2561336.0
1993,Panama,2615099.0
1994,Panama,2669546.0
1995,Panama,2724557.0
1996,Panama,2780227.0
1997,Panama,2836695.0
1998,Panama,2893914.0
1999,Panama,2951822.0
2000,Panama,3010369.0
2001,Panama,3069537.0
2002,Panama,3129344.0
2003,Panama,3189807.0
2004,Panama,3251155.0
2005,Panama,3313026.0
2006,Panama,3375024.0
2007,Panama,3437490.0
2008,Panama,3500648.0
2009,Panama,3564381.0
2010,Panama,3628535.0
2011,Panama,3693505.0
2012,Panama,3759256.0
2013,Panama,3825329.0
2014,Panama,3892101.0
2015,Panama,3960035.0
2016,Panama,4029086.0
2017,Panama,4098707.0
2018,Panama,4167860.0
2019,Panama,4234700.0
2020,Panama,4293261.0
2021,Panama,4345405.0
2022,Panama,4400773.0
2023,Panama,4458759.0
1985,Philippines,55213006.0
1986,Philippines,56645077.0
1987,Philippines,58157496.0
1988,Philippines,59739052.0
1989,Philippines,61265260.0
1990,Philippines,62854666.0
1991,Philippines,64382249.0
1992,Philippines,65926125.0
1993,Philippines,67530621.0
1994,Philippines,69019291.0
1995,Philippines,70546246.0
1996,Philippines,72190242.0
1997,Philippines,73908810.0
1998,Philippines,75791024.0
1999,Philippines,77753257.0
2000,Philippines,79625397.0
2001,Philippines,81401488.0
2002,Philippines,83068889.0
2003,Philippines,84731835.0
2004,Philippines,86394504.0
2005,Philippines,88015962.0
2006,Philippines,89508986.0
2007,Philippines,91075184.0
2008,Philippines,92699095.0
2009,Philippines,94384250.0
2010,Philippines,96337125.0
2011,Philippines,98248614.0
2012,Philippines,100175512.0
2013,Philippines,102076336.0
2014,Philippines,103767130.0
2015,Philippines,105312992.0
2016,Philippines,106735719.0
2017,Philippines,108119693.0
2018,Philippines,109465287.0
2019,Philippines,110804683.0
2020,Philippines,112081264.0
2021,Philippines,113100950.0
2022,Philippines,113964338.0
2023,Philippines,114891199.0
1985,Bangladesh,100253825.0
1986,Bangladesh,102635572.0
1987,Bangladesh,104959291.0
1988,Bangladesh,107216008.0
1989,Bangladesh,109433799.0
1990,Bangladesh,111633717.0
1991,Bangladesh,113787109.0
1992,Bangladesh,115952192.0
1993,Bangladesh,118132360.0
1994,Bangladesh,120343179.0
1995,Bangladesh,122600370.0
1996,Bangladesh,124862179.0
1997,Bangladesh,127198069.0
1998,Bangladesh,129622332.0
1999,Bangladesh,132108065.0
2000,Bangladesh,134544304.0
2001,Bangladesh,136805810.0
2002,Bangladesh,138933658.0
2003,Bangladesh,140970351.0
2004,Bangladesh,142902856.0
2005,Bangladesh,144715786.0
2006,Bangladesh,146405973.0
2007,Bangladesh,147989278.0
2008,Bangladesh,149474264.0
2009,Bangladesh,150873714.0
2010,Bangladesh,152201981.0
2011,Bangladesh,153591076.0
2012,Bangladesh,155070101.0
2013,Bangladesh,156532141.0
2014,Bangladesh,157964929.0
2015,Bangladesh,159383179.0
2016,Bangladesh,160811932.0
2017,Bangladesh,162186147.0
2018,Bangladesh,163523103.0
2019,Bangladesh,164913055.0
2020,Bangladesh,166298024.0
2021,Bangladesh,167658854.0
2022,Bangladesh,169384897.0
2023,Bangladesh,171466990.0
1985,India,772647793.0
1986,India,790689978.0
1987,India,808931270.0
1988,India,827342990.0
1989,India,846039529.0
1990,India,864972221.0
1991,India,883927600.0
1992,India,902957070.0
1993,India,922118387.0
1994,India,941163767.0
1995,India,960301044.0
1996,India,979678458.0
1997,India,999133762.0
1998,India,1018665080.0
1999,India,1038225823.0
2000,India,1057922733.0
2001,India,1077898575.0
2002,India,1097600380.0
2003,India,1116803006.0
2004,India,1135991513.0
2005,India,1154676322.0
2006,India,1172878890.0
2007,India,1190676021.0
2008,India,1207930964.0
2009,India,1225524753.0
2010,India,1243481564.0
2011,India,1261224954.0
2012,India,1278674502.0
2013,India,1295829511.0
2014,India,1312277191.0
2015,India,1328024498.0
2016,India,1343944296.0
2017,India,1359657400.0
2018,India,1374659064.0
2019,India,1389030312.0
2020,India,1402617695.0
2021,India,1414203896.0
2022,India,1425423212.0
2023,India,1438069596.0
1985,Nepal,17477692.0
1986,Nepal,17868124.0
1987,Nepal,18250505.0
1988,Nepal,18638661.0
1989,Nepal,19057807.0
1990,Nepal,19524573.0
1991,Nepal,20036500.0
1992,Nepal,20609707.0
1993,Nepal,21180159.0
1994,Nepal,21717479.0
1995,Nepal,22245439.0
1996,Nepal,22741862.0
1997,Nepal,23219463.0
1998,Nepal,23680357.0
1999,Nepal,24125199.0
2000,Nepal,24546509.0
2001,Nepal,24946748.0
2002,Nepal,25328981.0
2003,Nepal,25688758.0
2004,Nepal,26016656.0
2005,Nepal,26309458.0
2006,Nepal,26565425.0
2007,Nepal,26788492.0
2008,Nepal,26990037.0
2009,Nepal,27173035.0
2010,Nepal,27341952.0
2011,Nepal,27464494.0
2012,Nepal,27534915.0
2013,Nepal,27589996.0
2014,Nepal,27672370.0
2015,Nepal,27823629.0
2016,Nepal,27955462.0
2017,Nepal,28011258.0
2018,Nepal,28079689.0
2019,Nepal,28414064.0
2020,Nepal,28966574.0
2021,Nepal,29475010.0
2022,Nepal,29715436.0
2023,Nepal,29694614.0
1985,Pakistan,98229285.0
1986,Pakistan,101606764.0
1987,Pakistan,105130717.0
1988,Pakistan,108724739.0
1989,Pakistan,112336629.0
1990,Pakistan,116155576.0
1991,Pakistan,120060406.0
1992,Pakistan,123546848.0
1993,Pakistan,127020117.0
1994,Pakistan,130748083.0
1995,Pakistan,134582253.0
1996,Pakistan,138557092.0
1997,Pakistan,142531804.0
1998,Pakistan,146522356.0
1999,Pakistan,150565377.0
2000,Pakistan,154879127.0
2001,Pakistan,159270907.0
2002,Pakistan,163222549.0
2003,Pakistan,167110248.0
2004,Pakistan,171286000.0
2005,Pakistan,175453212.0
2006,Pakistan,179682690.0
2007,Pakistan,184493231.0
2008,Pakistan,189499113.0
2009,Pakistan,194376534.0
2010,Pakistan,199239047.0
2011,Pakistan,203746065.0
