year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga,total
1980,218.7,213.1,218.5,204.7,241.0,153.2,168.3,94.9,134.7,167.2,95.9,58.4,65.2,122.1,190.5,12.5,15.0,33.0,42.8,43.5,79.0,205.5,169.1,207.5,165.0,62.6,14.6,9.9,30.3,61.1,23.6,35.9,,23.9,26.5,10.4,10.1,9.7,10.0,8.4,111.2,55.2,50.7,72.2,208.5,34.0,18.2,32.6,36.1,93.2,13.0,15.6,46.4,118.8,64.2,61.2,,43.6,52.6,29.7,80.22166666666668
1981,217.2,209.9,201.7,197.9,238.4,137.8,158.7,90.3,127.9,165.7,91.6,55.0,63.2,117.5,185.5,11.8,14.4,29.9,39.4,42.1,78.0,200.5,163.9,200.9,162.8,59.8,14.0,9.3,28.3,58.3,22.7,34.5,,23.0,25.8,10.0,9.9,9.2,9.7,8.2,100.8,52.7,48.9,69.6,195.8,30.7,17.4,30.6,34.4,86.9,12.5,15.2,44.5,117.1,63.0,60.2,,41.7,50.3,28.7,77.09500000000001
1982,213.1,207.9,186.6,191.8,235.3,120.4,148.9,86.0,121.3,164.2,87.5,51.8,61.1,135.5,180.5,11.2,13.9,27.0,36.6,40.6,76.8,195.2,159.1,194.3,160.5,57.6,13.2,8.8,26.4,55.6,22.2,32.7,,22.2,24.9,9.7,9.9,8.7,9.6,8.0,90.9,50.3,47.1,67.1,183.8,27.8,16.6,28.9,32.9,81.1,12.2,14.8,42.8,115.2,61.6,59.5,,39.9,48.3,27.8,74.42
1983,207.4,207.0,175.1,185.6,231.4,102.9,138.8,82.0,115.0,162.2,83.7,48.9,59.0,108.7,175.7,10.6,13.4,24.6,34.1,39.1,75.5,189.6,154.5,187.7,158.1,56.0,12.3,8.3,24.7,53.1,21.9,31.2,,21.5,24.0,9.4,10.0,8.2,9.6,7.8,81.8,48.1,45.1,64.9,172.5,25.3,15.9,27.4,31.3,75.6,11.9,14.5,41.4,113.1,60.0,58.7,,38.3,46.6,27.1,71.135
1984,201.7,207.0,166.7,178.9,227.3,87.3,128.7,78.4,109.0,159.3,80.1,46.2,56.9,104.3,170.8,10.2,13.0,23.1,32.1,37.5,74.0,183.8,150.3,181.0,155.6,54.9,11.6,7.9,23.2,50.6,21.7,30.9,41.1,20.6,23.1,9.2,10.1,7.9,9.6,7.7,73.3,45.9,43.1,62.8,162.3,23.2,15.2,26.1,29.8,70.4,11.6,14.1,40.1,110.7,58.4,57.9,,36.8,45.0,26.4,69.10666666666665
1985,197.0,207.5,160.4,171.4,223.1,74.4,118.9,75.0,103.3,155.2,76.9,48.9,54.9,100.1,166.3,9.8,12.7,22.4,30.6,36.1,72.1,177.7,146.2,174.2,153.0,54.2,10.9,7.5,21.8,48.2,21.5,31.7,39.1,19.6,22.2,9.0,10.2,7.5,9.7,7.6,65.6,43.9,41.1,60.8,153.6,21.3,14.4,25.1,28.3,65.4,11.3,13.8,39.0,108.1,56.6,56.8,85.8,35.4,43.7,25.8,68.07666666666665
1986,193.6,208.4,155.4,163.1,219.1,64.8,110.0,71.8,98.0,150.1,73.9,41.8,52.9,95.9,161.8,9.4,12.4,22.2,29.6,34.7,69.6,171.4,142.2,167.3,150.4,53.9,10.3,7.1,20.5,45.9,20.8,33.1,37.5,18.8,21.3,8.9,10.2,7.3,9.7,7.5,58.8,42.0,39.1,59.1,146.2,19.7,13.7,24.3,26.8,60.6,11.0,13.4,38.1,105.2,55.0,55.5,81.8,34.1,42.4,25.2,65.57666666666667
1987,191.2,209.2,151.5,155.0,215.1,58.5,102.3,68.9,93.1,144.4,71.1,40.0,50.9,91.8,157.4,9.1,12.1,21.9,29.1,33.5,66.6,165.0,138.2,160.2,147.7,53.9,9.7,6.8,19.3,43.6,19.7,34.4,36.2,18.1,20.6,8.8,10.1,7.0,9.7,7.4,52.9,40.3,37.1,57.5,139.8,18.4,13.1,23.7,25.2,56.1,10.6,12.9,37.3,102.1,53.2,54.0,77.9,32.9,41.3,24.5,63.331666666666656
1988,189.0,209.7,148.6,147.9,211.1,54.5,95.7,66.3,88.6,138.5,68.4,38.4,49.1,87.9,153.1,8.8,11.9,21.3,29.0,32.3,63.2,158.6,134.1,152.9,145.1,54.0,9.1,6.6,18.3,41.4,18.5,34.8,34.4,17.8,20.0,8.6,9.8,6.7,9.6,7.3,47.7,38.7,35.3,56.1,134.3,17.1,12.6,23.4,23.7,51.8,10.2,12.4,36.7,98.5,51.4,52.5,74.1,31.7,40.2,23.8,61.218333333333334
1989,186.3,209.9,148.1,142.3,207.0,52.2,90.3,64.1,84.5,132.7,65.7,37.0,47.2,84.1,148.9,8.5,11.6,20.4,29.0,31.3,59.6,152.3,130.2,145.6,142.4,54.0,8.4,6.5,17.4,39.2,17.8,33.4,31.3,17.9,19.5,8.4,9.3,6.5,9.3,7.2,43.1,37.3,33.6,54.9,129.5,16.1,12.0,23.2,22.2,47.9,9.7,11.8,36.1,94.8,49.5,50.9,70.5,30.7,39.2,23.0,59.22166666666667
